,is_pcba,revenue,is_bare_pcb,Days_since_order,Days_since_order,Date of registeration,date_active,Total_Purchase,last_order,Average
,sum,sum,sum,min,max,max,max,sum,max,
user_id,,,,,,,,,,
65161dd3-ba6a-4611-bdcd-66addf2a4182,1,457.66,0,104 days 15:09:10.000000000,104 days 15:09:10.000000000,3/13/2017 18:12,3/15/2017,1,3/16/2017 1:37,0 days 00:00:00.000000000
8a46169c-ea15-4d57-af51-33be4eb5f33c,5,3944.23,0,105 days 15:09:36.000000000,223 days 10:04:16.000000000,11/16/2016 23:55,4/22/2017,5,3/15/2017 1:37,23 days 13:22:56.000000000
70a9c68d-1688-4a61-b5a9-59a19ef74f6b,1,475.44,0,105 days 18:36:14.000000000,105 days 18:36:14.000000000,3/13/2017 22:07,3/21/2017,1,3/14/2017 22:10,0 days 00:00:00.000000000
7947aa8e-d413-4f52-aa76-b87db0505931,1,166.8,0,105 days 19:21:38.000000000,105 days 19:21:38.000000000,3/6/2017 20:15,3/6/2017,1,3/14/2017 21:25,0 days 00:00:00.000000000
3056a2f4-9dec-4a47-84b0-e22f8db7de43,2,236.44,0,107 days 13:03:01.000000000,107 days 13:05:14.000000000,3/12/2017 1:26,3/12/2017,2,3/13/2017 3:44,0 days 00:01:06.500000000
d8e09a36-5325-4236-a62d-32bd2f59da4c,0,15.31,1,111 days 14:34:44.000000000,111 days 14:34:44.000000000,12/19/2016 19:04,4/15/2017,1,3/9/2017 2:12,0 days 00:00:00.000000000
5723d432-fae3-4630-ab26-f606f6bfb8a6,1,471.57,0,111 days 20:51:17.000000000,111 days 20:51:17.000000000,3/2/2017 23:06,4/4/2017,1,3/8/2017 19:55,0 days 00:00:00.000000000
31f15a2a-f522-4ea8-ae16-70703194342e,1,470.38,0,111 days 21:31:00.000000000,111 days 21:31:00.000000000,3/2/2017 23:21,3/8/2017,1,3/8/2017 19:16,0 days 00:00:00.000000000
0fc3e06e-2988-4c5d-8805-0dad657e5234,1,687.58,0,111 days 22:08:29.000000000,111 days 22:08:29.000000000,3/2/2017 21:47,3/8/2017,1,3/8/2017 18:38,0 days 00:00:00.000000000
ad37a6a6-1ecf-4a14-8bb4-11bafcf55d1b,1,486.29,0,111 days 22:10:09.000000000,111 days 22:10:09.000000000,3/2/2017 23:40,3/9/2017,1,3/8/2017 18:36,0 days 00:00:00.000000000
