,date_active
,max
user_id,
1b76d206-7e89-4669-8117-0309704af06b,9/21/2016
1b7784a1-2068-43fd-a0be-120a22217cbf,11/14/2016
1bbc3ee6-562e-4c33-8f28-15f9be481f49,9/27/2016
1be705af-9601-4c9f-bc6f-256bef9fde9d,6/17/2016
1c549a37-f54a-4bd9-a291-ef1aedf29141,7/5/2016
1c6d997d-1ea3-4ef0-992b-b56f69270f1c,5/26/2016
1c940b8e-f317-4af3-9f87-2d71b4b39a6b,5/30/2016
1ca6e391-6bab-4df5-97ab-4cb1f35167de,8/3/2016
1cb2a363-2129-47a2-8407-648f482f3479,2/21/2017
1d86261a-a89f-4569-a62c-1a288a240331,5/20/2016
1d97b24a-2f23-448b-baa5-1fd560a48535,1/10/2017
1dc08e7a-57ae-4eb7-a672-305b78b030ff,8/14/2016
1ea117e4-5cfb-4d91-98d0-9af0e73c0b93,6/22/2016
1ebfec83-9620-487d-8230-cce904a42226,2/9/2017
1f224ee0-6909-4476-82fe-f275cf391fad,10/20/2016
1f329e9d-483d-4272-a39f-c166bff99ced,9/9/2016
1fabe096-ea7a-4314-84ec-9cb1fc9ae464,9/8/2016
1ff03992-701b-4f78-bca3-8c26c82dd1e6,5/11/2017
206f6dfd-22d9-44ea-be13-79e126ead5fb,10/11/2016
2086aa52-c51b-4f38-a52d-ac33c60bf349,4/14/2016
2086e29f-9192-4f3a-85a1-7897c85701ec,6/7/2016
20d63ea8-bfcd-4a84-8e4c-94c675777c2d,12/30/2016
216dcb07-cbe8-4d18-8434-47bd49842cb2,6/30/2016
217ce13e-9296-42e8-b05f-71423bae9722,5/12/2017
2180e1ec-8a69-4fa5-93c2-640070411ace,2/16/2017
21d20f86-73be-4d52-bfe8-26c6e15e43a4,5/22/2016
2249bd4a-6960-412d-b263-1fd0d341865b,10/24/2016
224fefb7-bc20-4ec0-a204-b6f1a41260b0,4/4/2017
225cdac5-5515-4269-8b32-28f86dde4af9,7/6/2016
2280b98f-d990-4bb8-b824-6a819aecae8d,5/25/2016
228615b1-50f5-4a75-877a-cbf3b06f2b3a,5/16/2017
22e8ef2e-a757-45b1-859c-db33061735aa,7/15/2016
22ef4b51-c35e-4a6f-b285-80f0d0bca450,7/3/2016
2310b247-cf85-4cf5-ac3f-ef3fa4571c63,6/9/2017
231d3094-19b7-4379-b0f8-e602db51a950,7/1/2016
235d8c7c-f8c0-4e72-91a5-fe19e286fed2,6/3/2016
236018a0-4f00-4be7-9765-b69822bfc7d9,6/1/2016
236f2afd-c3ef-49b7-97a5-f7c38da5fef2,11/18/2016
238080ab-a3a7-407b-86cb-a5709e3fe4e4,12/13/2016
2386d2dd-c0d9-49d6-ab6d-4ed9d2384ced,3/29/2016
2398e07a-391e-4746-8fa1-8325359de6af,6/14/2016
23d6d05e-5c17-4ee4-b057-d28ee9fe3ad8,12/6/2016
240ea3dc-e45a-44b0-b01d-94aee32d21ea,4/25/2017
242c97b6-3447-4b38-99e1-0187b676930f,6/20/2016
246177f2-113e-4fa8-8b3b-429cad69b5c5,11/25/2016
2495d3b1-fb4d-48d1-8583-79ff787ce0b4,5/22/2016
24db3ba2-6c5f-43af-ad40-34302070f988,2/16/2017
24f5959b-2c5e-4189-8c66-3bbd9a5bed80,8/24/2016
255bf322-ea5f-472e-8845-b1daa4ba5482,6/1/2016
25b80267-7419-4a17-9e49-49f0b24b0184,5/24/2016
262f9ed5-77d2-4385-a1ca-9e5d18be470b,6/28/2016
2632661e-1784-4fbb-ac2c-352bfdaf2f2d,6/20/2016
264b2835-febd-46b1-bb5e-378c01c9ee86,2/11/2017
26c50605-08ba-4ff0-9407-14343259740d,3/1/2017
26d76a65-3bd2-43b4-8c7d-8ce4b157a1b7,5/31/2016
2706d881-7285-40ee-833f-28b835d55ebe,5/25/2016
2709a942-cdc2-4c78-9b2f-c3ee237ba00d,5/23/2016
270fd047-6245-486f-a09b-674bb441ebfc,4/13/2017
271e2d90-85ea-478a-a1af-510c0d63b236,11/3/2016
27510353-be1f-4d1a-8559-b2ecbb80d34a,1/5/2017
275daadb-8ebd-4d9a-b026-49565b63d800,5/23/2016
2761b2b2-81f9-409e-bf2f-185bbc97a7c8,4/24/2017
2779675a-36c3-450b-9ec0-3115c836d878,6/19/2017
27ae326d-c062-4e22-af9b-1aef8f85ba81,5/30/2016
27e212fb-06f9-4511-a671-edb0d68864a8,2/22/2017
27fb8caf-84a0-4028-ae65-3411658d2e30,9/25/2016
2803b135-0da2-49b9-8e61-9f89e64cbe79,5/12/2017
286dfaa7-e63c-4914-be80-4afa2b2c2489,9/7/2016
28821217-6981-490f-8134-41ad6968f660,4/20/2016
289ba651-54b6-4bbf-af7f-2b1fd6faa182,6/21/2016
28bb9222-7e08-445b-be85-91c6388b32c3,10/31/2016
29099b34-5a16-4a94-9c7c-b04b2abf2857,6/12/2016
2918e2cb-b900-4e15-bf42-97915f28b387,6/21/2017
29399e27-d3ad-427b-be75-76c801c2a7ba,4/3/2017
29706427-1106-4ce3-942d-94db8276cdaa,5/28/2016
2983a639-f096-4890-8695-88ff65236b0b,11/14/2016
29b9c11a-11ea-4e6c-9c6c-2731c6a90d2a,6/9/2017
29e39843-230a-4075-aa28-b050bd8799c5,1/28/2017
2a198d01-2bfe-40d9-af49-89996e81de74,6/1/2016
2a6a57a6-80ec-4708-9af5-00b244536c35,3/6/2017
2ac0ed07-657f-438c-bb55-3f244fc42803,5/24/2016
2af64228-f5ce-471d-8c14-abdf98720625,11/4/2016
2b402f7a-e59c-4909-9fce-5f4aeb8d6982,12/12/2016
2b453d91-1aec-42f0-a913-6814b1c92a96,4/11/2016
2b8bc1cc-09a6-4720-bb51-9f8e6932cab3,6/8/2016
2b94d540-7b75-4fea-9920-08d81a8cf003,5/20/2016
2bf49407-cb46-4b62-9278-68cc8986e332,6/27/2016
2c23d13f-e62e-4353-a0f6-e308cb504233,12/8/2016
2c285a64-5bf8-442c-bc48-ee75fd590ac8,5/3/2017
2c33fdb2-8d1f-48c9-a44f-9d0e77061d4a,7/16/2016
2c670035-91ca-4894-8506-4564028ecf78,5/25/2016
2d21f785-a946-4ff3-8f39-babcdbbfdb87,12/8/2016
2d2fdaff-e249-446f-85ee-e37dd494b1ef,5/26/2016
2d5540fc-4bf3-4f24-ac29-1e15b1917292,7/20/2016
2d91bc44-8923-44ad-a3cc-d48b0fa6c234,5/31/2016
2da1ba72-470b-49b5-bea4-76cfcc906094,5/23/2016
2dadee4e-9bc0-40b6-9215-a8ecc7946564,6/3/2016
2de2dba7-db87-4000-9ba7-b4068b6a5a68,7/7/2016
2dea394a-9f95-4135-8e80-1ffc8a85e900,8/5/2016
2deaed13-7036-4307-baf7-8ff665bce57d,5/23/2016
2e26c166-033b-47bb-8be2-824cd0982004,2/27/2017
2e312010-f599-40a5-bef1-56d07be655fe,5/29/2017
2e492077-8bbb-4929-b3ae-839d6dee8993,2/21/2017
2e4ae94a-90ef-41d6-843d-6636e9cb0995,6/15/2016
2e4ce42e-bd33-4ae6-967d-b4988e8a3b1f,1/23/2017
2e5fe3bf-9bd6-498a-9c69-6991912bc3a6,5/26/2016
2e836e5d-eb39-45ef-9f3f-ae9b61dbe0a3,4/9/2017
2ea76101-b46a-419f-bd2b-5abf7edeec42,8/11/2016
2ea85fa7-812b-4d72-9389-e574d00e34de,6/4/2016
2effb971-09d9-479f-a7db-5f57ce3a25ac,6/29/2016
2f233bfc-7f45-4c95-bf6e-23e02231a9b1,5/19/2017
2f5de768-4313-4098-aabd-b2e4c24e40cc,6/22/2016
2fa5c3a3-629f-42e6-99bc-6d13af5243ec,7/17/2016
2fbe6d50-93d5-419b-beac-a32a3bd81664,6/8/2016
2fca2bff-619c-40d8-bf54-10b387dd4434,5/23/2016
2fff6123-de6c-472d-8275-238a1fe6133f,4/1/2017
3024090a-dfa9-4280-bccd-5e22a5dce363,3/16/2017
3056a2f4-9dec-4a47-84b0-e22f8db7de43,3/12/2017
3092a8c1-444b-4523-9bd2-0c31a36ab15c,8/10/2016
30971030-f71e-4335-9f10-2e0b111f3e2a,4/9/2016
30995450-1c94-4e33-80f7-17086720f4d1,3/9/2017
30b6ce2a-d1ca-4bba-b400-ecd87b1c32af,6/30/2016
30ec7bad-6454-410b-b655-cada42dc562b,5/24/2016
