user_id,revenue,is_bare_pcb,Date of registeration,is_pcba,Days_since_order,Total_Purchase
585237d5-0e09-4d15-8bee-60e02d375baf,3541.43,0,2016-05-29 15:07:34,22,198 days 07:37:12.000000000,22
51ae0760-e86c-44f7-a11c-0da407b83a42,30.77,1,2016-12-08 16:11:36,0,199 days 13:41:12.000000000,1
b8b43a9f-1023-48bb-b788-8bc439d3290e,48.28,1,2016-05-23 21:14:18,0,202 days 16:28:13.000000000,1
d154e281-a94b-4102-8dc1-b5cd58d856a3,289.13,6,2016-03-30 16:44:19,1,206 days 17:51:02.000000000,7
c84142a2-0b95-4b2d-ad52-6d02f4766a55,665.42,0,2016-10-03 17:16:37,2,207 days 15:00:25.000000000,2
5650234d-3ec7-4ab2-ab6b-60ea1f105b1b,141.92,0,2016-05-22 17:49:59,1,213 days 13:08:46.000000000,1
dcd3e882-324d-4a43-9149-6e802ccef0f3,1891.6,0,2016-11-08 06:14:19,1,216 days 03:35:58.000000000,1
abe11ab2-250f-4d6f-ab9f-909aef78c878,20.94,1,2016-10-25 17:43:48,0,216 days 15:45:35.000000000,1
acff2025-ba55-4c3a-a46a-6034eab91cb1,188.67,0,2016-11-17 00:32:12,1,220 days 12:03:43.000000000,1
cd2cdda4-70c4-48f7-97b3-1b3211356a98,258.08,0,2016-10-10 11:46:50,2,221 days 13:44:48.000000000,2
a7f76393-6308-4baa-bdf2-ea6592bbc35d,27.14,2,2016-09-30 19:48:01,0,223 days 05:43:43.000000000,2
68d667b1-02fc-4c8e-b292-3d544ba22e93,35.68,1,2016-11-11 18:31:47,0,226 days 16:12:09.000000000,1
dd9f5d3a-33de-4103-981e-57569cd7a0e6,107.25,3,2016-05-27 20:16:07,0,230 days 17:38:58.000000000,3
3edf887b-1157-47ab-b2dd-525da5d39617,126.27,0,2016-10-04 16:04:08,1,232 days 17:28:06.000000000,1
5676491e-e93c-4038-984e-fbf4f70d7563,28.94,2,2016-07-15 02:01:46,0,234 days 11:16:49.000000000,2
